country_or_region,date,variable,generation_twh
Romania,01-07-19,Fossil,1.83
Romania,01-07-19,Gas,0.63
Romania,01-07-19,Hydro,1.41
Romania,01-07-19,Nuclear,0.99
Romania,01-07-19,Solar,0.16
Romania,01-07-19,Wind,0.3
Romania,01-07-19,Wind and solar,0.46
Romania,01-08-19,Bioenergy,0.04
Romania,01-08-19,Clean,2.65
Romania,01-08-19,Coal,1.15
Romania,01-08-19,Fossil,1.78
Romania,01-08-19,Gas,0.63
Romania,01-08-19,Hydro,1.02
Romania,01-08-19,Nuclear,0.99
Romania,01-08-19,Solar,0.17
Romania,01-08-19,Wind,0.43
Romania,01-08-19,Wind and solar,0.6
Romania,01-09-19,Bioenergy,0.03
Romania,01-09-19,Clean,2.29
Romania,01-09-19,Coal,1.12
Romania,01-09-19,Fossil,1.83
Romania,01-09-19,Gas,0.71
Romania,01-09-19,Hydro,0.82
Romania,01-09-19,Nuclear,0.86
Romania,01-09-19,Solar,0.13
Romania,01-09-19,Wind,0.45
Romania,01-09-19,Wind and solar,0.58
Romania,01-10-19,Bioenergy,0.04
Romania,01-10-19,Clean,2.38
Romania,01-10-19,Coal,1.16
Romania,01-10-19,Fossil,2.1
Romania,01-10-19,Gas,0.94
Romania,01-10-19,Hydro,0.84
Romania,01-10-19,Nuclear,1.02
Romania,01-10-19,Solar,0.11
Romania,01-10-19,Wind,0.37
Romania,01-10-19,Wind and solar,0.48
Romania,01-11-19,Bioenergy,0.04
Romania,01-11-19,Clean,2.83
Romania,01-11-19,Coal,1.11
Romania,01-11-19,Fossil,2.11
Romania,01-11-19,Gas,1
Romania,01-11-19,Hydro,0.97
Romania,01-11-19,Nuclear,1
Romania,01-11-19,Solar,0.05
Romania,01-11-19,Wind,0.77
Romania,01-11-19,Wind and solar,0.82
Romania,01-12-19,Bioenergy,0.04
Romania,01-12-19,Clean,2.97
Romania,01-12-19,Coal,1.14
Romania,01-12-19,Fossil,2.22
Romania,01-12-19,Gas,1.08
Romania,01-12-19,Hydro,1.08
Romania,01-12-19,Nuclear,1.05
Romania,01-12-19,Solar,0.05
Romania,01-12-19,Wind,0.75
Romania,01-12-19,Wind and solar,0.8
Romania,01-01-20,Bioenergy,0.05
Romania,01-01-20,Clean,2.89
Romania,01-01-20,Coal,1.1
Romania,01-01-20,Fossil,2.46
Romania,01-01-20,Gas,1.36
Romania,01-01-20,Hydro,1.09
Romania,01-01-20,Nuclear,1.05
Romania,01-01-20,Solar,0.06
Romania,01-01-20,Wind,0.64
Romania,01-01-20,Wind and solar,0.7
Romania,01-02-20,Bioenergy,0.05
Romania,01-02-20,Clean,2.97
Romania,01-02-20,Coal,0.79
Romania,01-02-20,Fossil,1.87
Romania,01-02-20,Gas,1.08
Romania,01-02-20,Hydro,1.06
Romania,01-02-20,Nuclear,0.99
Romania,01-02-20,Solar,0.08
Romania,01-02-20,Wind,0.79
Romania,01-02-20,Wind and solar,0.87
Romania,01-03-20,Bioenergy,0.05
Romania,01-03-20,Clean,3.33
Romania,01-03-20,Coal,0.82
Romania,01-03-20,Fossil,1.68
Romania,01-03-20,Gas,0.86
Romania,01-03-20,Hydro,1.27
